"url","name","locality","cuisine","price_per_person","overall_rating","food","service","ambiance","reviews","noise","dining_style"
"https://www.kayak.com/New-York-Restaurants-Le-Midi-Bar-Restaurant.100000080.rd.ksp","Le Midi Bar & Restaurant","Manhattan","French","$31 to $50","4.5","4.5","4.5","4.3","182","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Malai-Marke.100000083.rd.ksp","Malai Marke","East Village","Indian","$30 and under","4.4","4.6","4.3","3.9","26","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-The-Flatiron-Room.100000087.rd.ksp","The Flatiron Room - Nomad","Midtown","American","$31 to $50","4.5","4.2","4.4","4.8","312","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Bocca-Di-Bacco-Chelsea-20th-St-.100000173.rd.ksp","Bocca Di Bacco (Chelsea - 20th St.)","Chelsea","Italian","$30 and under","4.4","4.5","4.4","4.4","150","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Banc-Cafe.100000183.rd.ksp","Banc Cafe","Midtown","Contemporary American","$30 and under","4.6","4.4","4.4","4.4","2814","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-BXL-ZOUTE.100000198.rd.ksp","BXL ZOUTE","Flatiron District","Belgian","$30 and under","4.6","4.6","4.6","4.5","60","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Gallow-Green.100000254.rd.ksp","Gallow Green","Chelsea","Continental","$31 to $50","4.3","4.1","4.3","4.7","183","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Strip-House-Speakeasy.100000296.rd.ksp","Strip House Speakeasy","Manhattan","Steak","$30 and under","4.9","4.9","4.8","4.8","57","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-Pasta-Lovers-Trattoria.100000367.rd.ksp","Pasta Lovers Trattoria","Midtown","Italian","$30 and under","4.6","4.6","4.6","4.5","170","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Cocotte.100000500.rd.ksp","Cocotte","SoHo","French","$31 to $50","4.8","4.8","4.7","4.7","513","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Joanne-Trattoria.100000555.rd.ksp","Joanne Trattoria","Upper West Side","Italian","$31 to $50","4.2","4.2","4.3","4.2","173","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Pig-and-Khao.100000556.rd.ksp","Pig and Khao","Lower East Side","Southeast Asian","$31 to $50","4.6","4.6","4.3","4.2","7651","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Jewel-Bako.100000559.rd.ksp","Jewel Bako","East Village","Sushi","$31 to $50","4.4","4.4","4.3","4.4","3436","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Murray-s-Cheese-Bar.100000666.rd.ksp","Murray's Cheese Bar","West Village","Contemporary American","$31 to $50","4.5","4.6","4.2","4.3","5232","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Blue-Ribbon-Sushi-Izakaya.100000695.rd.ksp","Blue Ribbon Sushi Izakaya","Lower East Side","Japanese","$30 and under","4.6","4.6","4.6","4.5","198","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-The-Australian.100000742.rd.ksp","The Australian","Midtown","Australian","$31 to $50","4.1","3.9","4.2","4.0","456","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Sel-Rrose.100000884.rd.ksp","Sel Rrose","Bowery","French","$30 and under","4.5","4.4","4.2","4.4","1771","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Maison-Harlem.100000958.rd.ksp","Maison Harlem","Harlem","French","$30 and under","4.6","4.5","4.4","4.6","130","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-44-X.100000962.rd.ksp","44 & X","Hell's Kitchen","American","$50 and over","4.5","4.5","4.4","4.3","8457","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Anassa-Taverna.100000971.rd.ksp","Anassa Taverna","Upper East Side","Greek","$31 to $50","4.4","4.4","4.2","4.2","7857","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-The-Milling-Room.100000981.rd.ksp","The Milling Room","Upper West Side","American","$31 to $50","4.6","4.6","4.4","4.7","471","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Lafayette.100001020.rd.ksp","Lafayette","NoHo","French","$31 to $50","4.5","4.3","4.3","4.6","186","Moderate","Casual Elegant"
